"record","datetime","Ta_2m","Huma_2m","Ta_10m","Huma_10m","Windspeed_2m","Windspeed_10m","rad_sw_in","rad_sw_out","RsNet","RlNet","rad_net","LUpCo","LDnCo","water_vol_soil","Ts","heatflux_soil","PCP"
147,"2017-06-30 00:00:00",13.09,100,13.6,97.6,0.448,0.529,-0.902,1.24,-2.141,-13.06,-15.2,361.9,375,0.344,16.31,1.551533,NA
148,"2017-06-30 00:05:00",13.01,100,13.51,97.7,0.38,0.409,-0.435,0.844,-1.279,-7.638,-8.92,367.1,374.7,0.344,16.29,1.492695,NA
149,"2017-06-30 00:10:00",13.02,100,13.66,96.5,0.548,0.67,0.964,1.134,-0.171,-1.795,-1.965,374.2,376,0.344,16.25,1.448708,NA
150,"2017-06-30 00:15:00",13.16,100,13.76,96.1,0.581,0.658,1.15,1.134,0.016,-1.806,-1.79,375.9,377.7,0.344,16.25,1.390439,NA
151,"2017-06-30 00:20:00",13.27,100,13.8,96.4,0.764,0.887,1.026,1.161,-0.135,-2.334,-2.469,376.7,379.1,0.344,16.22,1.325316,NA
152,"2017-06-30 00:25:00",13.69,98.1,14.25,92.4,0.589,0.744,1.026,0.976,0.05,-3.906,-3.857,376.7,380.6,0.344,16.19,1.268762,NA
153,"2017-06-30 00:30:00",13.75,98.3,14.36,92.6,0.602,0.712,0.435,0.765,-0.33,-3.779,-4.109,377.4,381.2,0.344,16.16,1.218492,NA
154,"2017-06-30 00:35:00",13.65,99.4,14.2,94.6,0.714,0.696,0.155,0.58,-0.425,-5.697,-6.122,376,381.7,0.344,16.13,1.147087,NA
155,"2017-06-30 00:40:00",13.61,99.9,14.03,95.6,0.637,0.743,-0.124,0.554,-0.678,-7.719,-8.4,373.9,381.6,0.344,16.11,1.111099,NA
156,"2017-06-30 00:45:00",13.72,99.3,14.22,94.3,0.553,0.84,-0.187,0.528,-0.714,-8.38,-9.09,373.4,381.8,0.344,16.09,1.059116,NA
157,"2017-06-30 00:50:00",13.64,99.8,14.06,95.8,0.363,0.459,-0.311,0.528,-0.838,-8.59,-9.43,373.1,381.6,0.344,16.07,1.013416,NA
158,"2017-06-30 00:55:00",13.58,100,13.93,97.3,0.14,0.308,-0.435,0.448,-0.884,-9.1,-9.98,372.4,381.5,0.344,16.03,0.9762847,NA
159,"2017-06-30 01:00:00",13.55,100,13.81,98.1,0.321,0.389,-0.311,0.475,-0.786,-9.15,-9.94,372.2,381.4,0.344,16.04,0.9305829,NA
160,"2017-06-30 01:05:00",13.49,100,13.73,98.4,0.149,0.274,-0.528,0.58,-1.109,-9.56,-10.67,371.5,381.1,0.344,16.02,0.9077301,NA
161,"2017-06-30 01:10:00",13.45,100,13.67,98.8,0.203,0.294,-0.311,0.554,-0.865,-8.92,-9.79,371.9,380.8,0.344,16.01,0.8620263,NA
162,"2017-06-30 01:15:00",13.45,100,13.65,99,0.328,0.449,-0.062,0.501,-0.563,-8.46,-9.03,372.3,380.8,0.344,15.99,0.8100379,NA
163,"2017-06-30 01:20:00",13.46,100,13.65,99,0.416,0.618,0,0.686,-0.686,-8.03,-8.71,372.8,380.8,0.344,15.99,0.7403415,NA
164,"2017-06-30 01:25:00",13.45,100,13.64,98.9,0.385,0.623,-0.124,0.765,-0.889,-7.773,-8.66,373.1,380.9,0.345,15.98,0.7260579,NA
165,"2017-06-30 01:30:00",13.45,100,13.68,98.7,0.219,0.38,-0.249,0.528,-0.776,-7.645,-8.42,373.2,380.9,0.345,15.98,0.6912114,NA
166,"2017-06-30 01:35:00",13.46,100,13.67,99,0.286,0.427,-0.062,0.607,-0.669,-7.67,-8.34,373.2,380.9,0.345,15.97,0.6432275,NA
167,"2017-06-30 01:40:00",13.45,100,13.65,99.2,0.302,0.481,-0.093,0.686,-0.779,-7.926,-8.71,372.9,380.9,0.345,15.95,0.6095245,NA
168,"2017-06-30 01:45:00",13.45,100,13.63,99.3,0.317,0.431,-0.249,0.607,-0.855,-8.44,-9.29,372.4,380.8,0.345,15.95,0.5478299,NA
169,"2017-06-30 01:50:00",13.46,100,13.66,99,0.3,0.518,-0.342,0.844,-1.186,-9.15,-10.34,371.7,380.9,0.345,15.94,0.5352631,NA
170,"2017-06-30 01:55:00",13.41,100,13.64,99,0.31,0.272,-0.622,0.58,-1.202,-11.35,-12.56,369,380.4,0.345,15.94,0.4998466,NA
171,"2017-06-30 02:00:00",13.4,100,13.61,99.2,0.355,0.581,-0.933,0.765,-1.698,-15.73,-17.42,364.2,379.9,0.344,15.93,0.4707146,NA
172,"2017-06-30 02:05:00",13.38,100,13.57,99.2,0.458,0.629,-1.212,0.87,-2.083,-20.44,-22.52,358.8,379.3,0.344,15.93,0.4598622,NA
173,"2017-06-30 02:10:00",13.33,100,13.53,99.2,0.508,0.786,-1.461,0.923,-2.384,-22.85,-25.23,355.4,378.2,0.344,15.91,0.3827429,NA
174,"2017-06-30 02:15:00",13.23,100,13.49,98.7,0.572,0.615,-1.741,1.161,-2.902,-23.16,-26.06,354.1,377.3,0.344,15.9,0.3638917,NA
175,"2017-06-30 02:20:00",13.11,100,13.5,97.7,0.525,0.782,-1.648,1.108,-2.756,-21.89,-24.64,354.6,376.5,0.345,15.92,0.3438981,NA
176,"2017-06-30 02:25:00",13.01,100,13.44,97.8,0.353,0.94,-1.492,0.976,-2.468,-19.38,-21.85,356.5,375.9,0.345,15.9,0.3050527,NA
177,"2017-06-30 02:30:00",12.9,100,13.35,98.5,0.323,0.469,-0.995,1.055,-2.05,-15.42,-17.47,359.9,375.3,0.345,15.89,0.2827733,NA
178,"2017-06-30 02:35:00",12.9,100,13.22,98.8,0.292,0.467,-0.466,1.055,-1.521,-14.19,-15.71,361.1,375.3,0.345,15.89,0.2205056,NA
179,"2017-06-30 02:40:00",12.85,100,13.17,99.1,0.385,0.572,-0.466,1.266,-1.732,-14.39,-16.13,360.8,375.2,0.345,15.88,0.2056524,NA
180,"2017-06-30 02:45:00",12.86,100,13.15,99.2,0.281,0.642,-0.342,1.293,-1.634,-12.35,-13.99,362.5,374.9,0.345,15.86,0.1685204,NA
181,"2017-06-30 02:50:00",12.87,100,13.14,99,0.443,0.81,0.28,1.24,-0.96,-10.63,-11.59,364.6,375.2,0.345,15.86,0.1256759,NA
182,"2017-06-30 02:55:00",12.88,100,13.16,98.6,0.526,0.947,0.093,1.424,-1.331,-11.94,-13.27,363.5,375.5,0.345,15.83,0.1016829,NA
183,"2017-06-30 03:00:00",12.83,100,13.19,98,0.465,0.956,-0.342,1.319,-1.661,-14.67,-16.33,360.8,375.5,0.345,15.82,0.09140029,NA
184,"2017-06-30 03:05:00",12.76,100,13.15,97.8,0.411,0.937,-0.653,1.161,-1.813,-17.07,-18.89,358.1,375.1,0.345,15.8,0.03427514,NA
185,"2017-06-30 03:10:00",12.7,100,13.08,97.8,0.393,0.638,-0.373,1.029,-1.402,-16.31,-17.71,358,374.3,0.345,15.79,0.04227275,NA
186,"2017-06-30 03:15:00",12.62,100,13,98,0.401,0.682,0.404,1.082,-0.677,-14.02,-14.69,359.8,373.8,0.345,15.76,-0.0257064,NA
187,"2017-06-30 03:20:00",12.57,100,12.9,98.6,0.384,0.678,1.399,1.187,0.212,-9.23,-9.02,364.2,373.5,0.345,15.73,-0.05027022,NA
188,"2017-06-30 03:25:00",12.55,100,12.88,98.8,0.372,0.628,2.363,1.345,1.017,-5.647,-4.629,368.7,374.4,0.345,15.72,-0.08683015,NA
189,"2017-06-30 03:30:00",12.57,100,12.87,98.7,0.462,0.633,2.767,1.583,1.184,-4.157,-2.973,370.7,374.9,0.345,15.71,-0.1091087,NA
190,"2017-06-30 03:35:00",12.6,100,12.89,98.6,0.616,0.758,3.7,1.952,1.747,-4.228,-2.48,371.5,375.7,0.345,15.69,-0.1519523,NA
191,"2017-06-30 03:40:00",12.61,100,12.91,98.4,0.393,0.647,4.974,2.084,2.89,-5.578,-2.688,370.8,376.4,0.345,15.66,-0.1776584,NA
192,"2017-06-30 03:45:00",12.64,100,12.9,98.5,0.322,0.535,6.56,2.321,4.238,-6.012,-1.774,370.4,376.4,0.345,15.65,-0.2113621,NA
193,"2017-06-30 03:50:00",12.64,100,12.89,98.6,0.35,0.609,8.39,2.585,5.809,-5.909,-0.1,370.6,376.5,0.345,15.63,-0.2342123,NA
194,"2017-06-30 03:55:00",12.64,100,12.9,98.6,0.4,0.588,10.91,3.192,7.72,-6.035,1.686,370.7,376.8,0.345,15.6,-0.2656311,NA
195,"2017-06-30 04:00:00",12.66,100,12.91,98.7,0.3,0.485,12.16,3.429,8.73,-5.827,2.9,371.2,377,0.345,15.59,-0.2719148,NA
196,"2017-06-30 04:05:00",12.68,100,12.91,98.7,0.316,0.497,13.28,3.614,9.66,-5.595,4.066,371.7,377.3,0.345,15.57,-0.3130442,NA
197,"2017-06-30 04:10:00",12.69,100,12.9,98.9,0.318,0.535,14.52,3.957,10.56,-5.64,4.921,372,377.6,0.345,15.56,-0.3576008,NA
198,"2017-06-30 04:15:00",12.71,100,12.98,98.3,0.488,0.635,14.3,3.957,10.34,-5.002,5.343,373,378,0.345,15.56,-0.3638838,NA
199,"2017-06-30 04:20:00",12.77,100,13.09,97.8,0.372,0.501,14.58,4.036,10.54,-4.721,5.824,373.5,378.3,0.345,15.56,-0.4004433,NA
